IPC maingroup,Label
A47B-021,컴퓨터테이블
A47B-023,베드테이블
A47B-025,트럼프용/게임용 테이블
A47B-027,제도용 테이블
A47B-029,재봉용/공업용 테이블
A47B-003,접이식/수납형 테이블
A47B-031,티 테이블/손수레/포장마차
A47B-033,부엌/싱크대 테이블
A47B-035,다리미판/세탁기 조합 테이블
A47B-037,타목적용 테이블
A47B-039,학교용 장의자
A47B-041,학교용 책상/테이블
A47B-043,캐비넷 절첩형 선반
A47B-045,길이 조절형 캐비넷/선반
A47B-046,이동형 캐비넷/선반
A47B-047,조립형 캐비넷/선반
A47B-049,회전식 캐비넷/선반
A47B-005,벽 테이블
A47B-051,상하이동형 캐비넷
A47B-053,선반 캐비넷
A47B-055,강성구조 캐비넷/선반
A47B-057,선반용 조절수단
A47B-061,옷장
A47B-063,문서보관용 선반
A47B-065,책꽂이/도서보관용 부속구
A47B-067,정리장농/화장대/의약용캐비넷
A47B-069,칵테일 캐비넷
A47B-007,강성구조 테이블
A47B-071,부패성 식품용 캐비넷
A47B-073,병용 찬장/선반
A47B-075,가정용 과실 저장용 캐비넷
A47B-077,부엌용 캐비넷
A47B-079,침대용 캐비넷
A47B-081,기타 목적 캐비넷
A47B-083,복수 가구 조합
A47B-085,타가구 변환 가구
A47B-087,조립가구
A47B-088,테이블/캐비넷 서랍
A47B-009,높이조절천판 포함 테이블
A47B-091,가구용 다리
A47B-095,가구용 부속품
A47B-096,기타 캐비넷/선반/가구
A47B-097,기타 가구/가구 부속구
A47C-001,의자/스툴/벤치
A47C-011,기타 벤치
A47C-012,다리걸상
A47C-013,전환형 의자/걸상/벤치
A47C-015,기타 걸상용 기구
A47C-016,발/다리/팔 지지용 대
A47C-017,소파/장의자/침대
A47C-019,침대뼈대
A47C-020,침대받침대
A47C-021,침대용 부속품
A47C-023,매트리스용 스프링
A47C-025,침대/소파용 스프링유닛
A47C-027,의자/침대/소파용 스프링/매트리스
A47C-029,의자/침대 비치형 모기장
A47C-003,구조특징 의자
A47C-031,기타 의자/침대 세부/부속구
A47C-004,절첩의자/분해형 의자
A47C-005,특수재료 의자
A47C-007,의자/걸상 부품
A47C-009,특수목적 걸상
A47D-001,아동용 의자
A47D-011,전환형 아동용 가구
A47D-013,기타 아동용 가구
A47D-015,아동용 가구부속품
A47D-003,아동용 책상
A47D-005,아동용 화장대
A47D-007,아동용 침대
A47D-009,아동용 요람
A47F-001,상품분배용 선반/용기/장치
A47F-010,기타 서비스용 가구
A47F-011,유리 진열대/진열장내 장치
A47F-013,상점용 부속물
A47F-003,유리 진열장/진열 캐비넷
A47F-005,구조특징 진열스탠드
A47F-007,물품용 진열스탠드/걸이/선반
A47F-008,장식인형용 진열스탠드
A47F-009,상점/술집용 카운터
A47G-001,거울/액자
A47G-011,식탁보/냅킨
A47G-019,식기
A47G-021,식탁기구
A47G-023,기타 식탁용구
