IPC subclass,Label
C07F,"탄소, 수소, 할로겐, 산소, 질소, 황, 셀레늄 또는 텔루르 이외의 원소를 함유하는 비환식, 탄소 고리 또는 이종원자 고리 화합물"
C07G,구조불명의 화합물
C07H,당류; 그 유도체; 뉴클레오시드; 뉴클레오티드; 핵산
C07J,스테로이드(
C07K,펩티드 (Peptides)
C07M,유기화합물의 특정 성질에 관한 C07B ∼ C07K에 관련된 인덱싱 계열
C08B,다당류; 그 유도체
C08C,고무의 처리 및 화학적 변성
C08F,탄소-탄소 불포화 결합만이 관여하는 반응으로 얻어지는 고분자 화합물
C08G,탄소-탄소 불포화 결합만이 관여하는 반응 이외의 반응으로 얻는 고분자 화합물
C08H,천연 고분자 화합물의 유도체
C08J,마무리; 일반적 혼합 방법;
C08K,무기 또는 비고분자 유기 물질의 배합 성분으로서의 사용
C08L,고분자 화합물의 조성물
C09B,유기 염료 또는 염료 제조에 밀접한 관련이 있는 화합물; 매염제; 레이크
C09C,안료성 또는 충전제 성질을 개량하기 위한 섬유성 충전제 이외의 무기물질의 처리
C09D,"피복 조성물, 예. 페인트, 바니시 또는 락카; 충전용 반죽; 페인트 또는 잉크 제거제; 잉크; 수정액; 목재 물감(WOODSTAINS); 그 물질의 사용"
C09F,천연수지; 프랑스 니스(FRENCH POLISH); 건성유(DRYING-OILS); 드라이어(건조제(SICCATIVES)); 테레빈(송진(TURPENTINE)
C09G,광택제(POLISHING) 조성물 
C09H,아교(GLUE) 또는 젤라틴(GELATINE)의 제조
C09J,접착제; 일반적인 접착 방법(비기계적 요소); 달리 분류되지 않는 접착 방법; 물질의 접착제로서의 사용
C09K,그 밖에 분류되지 않는 응용되는 물질； 그 밖에 분류되지 않는 물질의 응용
C10B,"가스, 코크스, 타르 및 이들의 유사물을 제조하기 위한 탄소 물질의 분해 건류"
C10C,"타르, 피치, 아스팔트, 역청(Bitumen)의 처리; 목초산"
C10F,이탄의 건조 또는 처리
C10G,탄화수소유의 분해 증류; 액체 탄화수소 혼합물의 제조
C10H,습식법에 의한 아세틸렌의 제조
C10J,"산소 또는 증기를 수반하는 부분 산화법에 의해, 고체 탄소질 물질로부터 일산화탄소와 수소를 포함하는 가스의 제조"
C10K,일산화탄소 함유 가연성 기체의 정제 또는 화학 조성의 변성
C10L,달리 분류되지 않는 연료; 천연가스; 서브클래스 C10G 또는 C10K에 의하여 분류되지 않는 방법으로 얻어지는 천연 가스; 액체 석유 가스; 연료 또는 화염의 첨가제 사용; 화염 착화제
C10M,윤활 조성물
C10N,C10M로 변경 필요
C11B,"지방, 지방성 물질 (예. 라놀린), 지방유 또는 왁스의 제조 (압착, 유출), 정제 또는 보존 및 그 폐기물로부터의 추출; 정유; 향료"
C11C,"지방, 지방유 또는 왁스로부터의 지방산; 양초; 지방, 지방유 또는 지방산의 화학적 변성에 의한 지방, 지방유 또는 지방산"
C11D,세정성 조성물; 세정제로서 단일 물질의 사용; 비누 또는 비누 제조; 수지 비누; 글리세롤의 회수
C12C,맥주; 발효에 의한 맥주의 제조
C12F,발효 용액의 부산물 회수
C12G,포도주; 그의 제조; 알코올성 음료
C12H,"알코올 음료의 저온살균, 살균, 보존, 정제, 청정 또는 숙성; 발효액 또는 알코올 음료의 알코올 함량을 바꾸기 위한 방법"
C12J,식초; 그것의 제조 또는 정제
C12L,원료의 투입 또는 회수하는 장치; 저장실 도구류
C12M,효소학 또는 미생물학을 위한 장치
C12N,"미생물 또는 효소; 그 조성물; 미생물의 증식, 보존 또는 유지; 돌연변이 또는 유전 공학; 배양 배지 "
C12P,발효 또는 효소를 사용하여 원하는 화학물질 또는 조성물을 합성하는 방법 또는 혼합물로부터 광학이성체를 분리하는 방법
C12Q,"효소, 핵산 또는 미생물을 포함하는 측정 또는 시험방법 "
C12R,미생물과 관련된 서브클래스
C12S,C12M로 변경 필요
C13B,자당의 생산; 그에 특히 적합한 장치
C13C,C13B로 변경
C13D,C13B로 변경
C13F,C13B로 변경
C13G,C13B로 변경
C13H,C13B로 변경
C13J,C13B로 변경
C13K,"자연원으로부터 또는 자연적으로 발생하는 이당류, 올리고당류, 다당류의 가수분해에 의해 얻어진 당류"
C14B,"원피, 나피 또는 피혁의 기계적 처리 및 가공 일반"
C14C,"화학 물질, 효소 또는 미생물로써 피부, 가죽(HIDES OR LEATHER)을 처리하는 것"
C21B,철 또는 강의 제조
C21C,"선철의 처리, 예. 정제, 연철 또는 강의 제조; 철계합금의 용융상태에서의 처리"
C21D,"철계 금속의 물리적 구조의 개량; 철계 또는 비철계금속 또는 합금의 열처리를 위한 일반적 장치; 금속의 가단화, 예. 탈탄 또는 소려에 의한 것"
C22B,금속의 제조 또는 정제
C22C,합금
C22F,비철금속 또는 비철합금의 물리적 구조의 변화
C22K,"인덱싱개요는 서브클라스 C21D, C22C 또는 C22F중에 합금의 물리적특성 변화에 관한 것 "
C23C,"코팅 금속물질; 금속물질을 포함하는 피복재료; 표면확산, 화학적 전환 또는 치환에 의한 금속 재료의 표면 처리; 진공증착, 스퍼터링, 이온 주입 또는 화학증착법에 코팅 일반"
C23D,금속의 법랑피복 또는 유리질 피막의 형성
C23F,기계적 방법에 의하지 않는 표면에서 금속재료의 제거
C23G,전해법 이외의 화학적방법에 의한 금속재료의 청정 또는 탈지
C25B,화합물 또는 비금속의 제조를 위한 전기분해 또는 전기영동 방법; 그것을 위한 장치
C25C,"금속의 전해제조, 회수 또는 정련방법; 그것을 위한 장치"
C25D,전기분해 또는 전기영동에 의한 피복방법; 전기주조
C25F,전기분해에 의한 재료의 제거방법; 그것을 위한 장치
C30B,단결정성장
C40B,조합된 화학；라이브러리
C99Z,이 섹션 중에서 그 밖에 분류되지 않는 주제 사항
D01B,섬유 또는 필라멘트를 채취하기 위한 천연의 섬유상 또는 필라멘트상 물질의 기계적 처리
D01C,방적용 섬유나 필라멘트를 채취하기 위한 천연의 섬유상 또는 필라멘트상 물질의 화학적 처리; 동물섬유 재생을 위한 넝마털 부스러기의 탄화
D01D,"인조필라멘트, 가연사, 섬유, 강모, 또는 리본의 제조에 있어서 기계적인 방법 또는 장치"
D01F,"인조필라멘트, 사, 섬유, 강모, 또는 리본의 제조에 있어서 화학적 특징을 가지는 것; 탄소 필라멘트 제조에 특히 적합한 장치"
D01G,섬유의 예비처리
D01H,방적 또는 연사
D02G,"섬유, 필라멘트, 가연사 또는 사의 권축처리; 사 또는 가연사"
D02H,"정경, 빔 권취 또는 리싱(leasing)"
D02J,"필라멘트, 사, 가연사, 끈, 로프 또는 이들의 유사물의 끝마무리 또는 가공"
D03C,개구기구; 문직 또는 문직용 체인; 문지의 펀칭(punching); 모양의 설계
D03D,직물; 제직방법; 직기
D03J,제직 보조 장치; 제직용의 용구; 북(shuttles)
